Title,Body,Date Time,Score
"I keep trying to teach my husband how to use chopsticks, but he walrus gets it wrong.","It's called ""Leave me the fuh cologne""",14 hours ago,8
I'm developing a new fragrance for introverts,I accidentally sprayed deodorant in my mouth today.,12 hours ago,4
I hope you got the point of this,Now when i take I have this weird axe scent.,1 day ago,64
"Credit goes to u/RestingBitFace, thought this would fit here.","Man, they can never get straight to the point.",11 hours ago,3
This post was made by the pun gang,He is saxually active.,1 day ago,35
What do you call a laughing giraffe that speaks Spanish?,A Ji-Ji-rafa,1 day ago,2
can you matter?,I don’t do well in trigonometry,2 days ago,7
Mafs 100,because I don’t understand sine language,2 days ago,3
Captain America,Life's Duff!,3 days ago,44
"Mez: what's your surname Selena?, Selena: Gomez. Mez: okay I'll go but what's your surname?",Optimist Prime,5 days ago,289
What do you call a Transformer with a half full fuel tank?,Female boobs in my face,4 days ago,16
It has sunk,You put it into ,5 days ago,47
He doesn't hear so well., mode.,4 days ago,0
Don't laugh. This is sirius.,He wasn’t very cheeky about it,5 days ago,73
Whats the post retirement plan of a fake news agency?,To run a record libel,5 days ago,4
The company Volkswagon has said that they will release a new series of cars that use electricity.,"They decided to call it, Voltswagon.",6 days ago,3
What did the pilot say when a group of birds crashed on his plane?,What the flock.,6 days ago,2
What were the odds in 1957 of being the exact stray dog chosen to be the first living thing in space?,Laika million to one,6 days ago,21
What happens to nitrogen when it's bright outside?,It becomes daytrogen,6 days ago,8
True pun-manship,Then you know nothing about nothing,7 days ago,34
Scissors cannot be trusted,They always cut corners,7 days ago,6
Brian Peano,"But why though, he can already see 2020!",7 days ago,7
Need a good punny title for a qualitative research paper for gut bacteria and mental health?,"WATSON: No,  shit Sherlock.",7 days ago,1
Baroque Obama,"""Hey, wanna go shoppin'?""",9 days ago,48
scream,"""Why don't you just go online? You've got a pretty long list.""",9 days ago,175
"This isn't like last time, I swear","""Eh, I'm more of a maller, ya know?""",10 days ago,2.9k
Please try to maintain your composer...,"""Alright. You want to invite Leo?""",8 days ago,5
It’sa fine Mario,"""Oh GAWD, no, I can't bear Leo's drama right now.""",9 days ago,75
A sharp mind has placed this here,"""Alright, let me get my keys.""",9 days ago,96
Quit Stalin already!,...,9 days ago,17
Toad truck,"""Geez, this place hasn't changed a bit. I didn't know some of these stores still existed! There's Deb, you see?""",9 days ago,13
Incest=Wincest right?,Cant figure it out I do know it's a 2 word answer and it's a pun. The riddle is,9 days ago,17
Velcro is a rip-off.,"Penguins blue, I love you. Penguins bare, sometimes wear. Please find what tops a penguins hair!",9 days ago,9
Sometimes I can't help but otter a few puns.,Hint: There only are a few of these. There are two words!,9 days ago,20
