,Title,Datetime,Score,flag_alphachar
0,""" I bet your ass must be very envious of the sheer amount of shit that can come out of your mouth "" .",1 year ago,322,1
1,"""70% off!"" means a great deal to me.",2 months ago,11,1
2,"""I dropped my toothpaste"" said John, crestfallen.",9 months ago,30,1
3,"""I feel like this is destined to be our year,"" said the keynote speaker at the conference of ophthalmology.",2 months ago,2,1
4,"""I have a beard."" —a bald-faced liar",1 month ago,18,1
5,"""Luck is getting the chance to sell yourself. After that, you need to have talent""",13 days ago,2,1
6,"""Reach for the Stars"" might be insulting to a dwarf.",27 days ago,5,1
7,"""average"" only half rhymes with ""a fridge"" and it's not the half you'd expect",2 months ago,2,1
8,"""i"" before ""e"" except after ""c"" is disproved by science.",1 year ago,281,1
9,"""yes but at the same time"" really means ""no and""",14 days ago,7,1
12,12 out of 10 dentists agree someone is using bad math,2 days ago,465,1
13,2020 will be remembered not for how many people died but for how many people used leafs as toilet paper,20 hours ago,7,1
14,3.14% of sailors are π-rates.,6 months ago,360,1
15,42.63% of all statistics are made up on the spot,3 months ago,321,1
16,"50 quid to join a pottery class, do I look like a mug",1 month ago,6,1
17,63 Earths can fit inside Uranus. 64 if you relax.,1 year ago,336,1
18,7 days of anal can make your hole week.,2 months ago,10,1
19,79% of accidents happen at home; good news for the homeless.,2 months ago,386,1
20,9 out of 10 dermatologists agree that towels are the leading cause of dry skin.,2 years ago,238,1
21,"9 times out of 10, if you hear a pun come out of my mouth then it's absolutely intended, but if the 10th one doesn't make you laugh, then no pun in ten did!",5 days ago,12,1
22,A blind person was eating seafood. It didn’t help.,2 months ago,278,1
23,A cold blooded killer killed another lizard,2 months ago,33,1
24,"A cowboy walks into a German car showroom and says, ""Audi!""",9 months ago,319,1
25,A cure for premature ejaculation can't come soon enough.,19 days ago,361,1
26,A desserter abandoned his diet,1 month ago,324,1
27,"A dung beetle walks into a bar and asks ""Is this stool taken?""",29 days ago,618,1
28,A fortune-teller predicted that someone was about to swindle me out of my money.,11 months ago,35,1
29,A friend once gave me an empty can of silly string. It was a gift with no strings attached,2 months ago,4,1
30,A frozen bottle of water should be allowed on a flight since it’s not a liquid.,21 days ago,4,1
31,A gathering of golfers and prison inmates would have pros and cons.,1 month ago,29,1
32,A good limbo dancer lowers the bar for everyone else.,10 months ago,294,1
33,A group of necrophiliacs draw straws.,22 days ago,4,1
34,"A guy was running around with glitter on his balls, It was pretty nuts.",9 months ago,337,1
35,A lighthouse is actually very heavy.,1 year ago,428,1
36,A logic fetishist came to a conclusion.,9 months ago,59,1
